priority,category,channel,complexity_score,response_time_hours,resolution_time_hours,previous_tickets,customer_tenure_months,customer_age,sla_breach,escalated
Medium,Billing Dispute,Phone,4,4.04,33.5,1,22,23,0,0
Medium,Account Suspension,Chat,5,5.61,44.49,3,54,43,0,0
Low,Login Issue,Email,4,61.21,158.8,0,56,53,1,0
Urgent,Security Breach,Chat,7,0.63,5.69,2,31,21,0,0
Medium,Feature Request,Phone,6,14.57,57.89,5,22,49,1,0
Low,Integration Failure,Chat,3,5.01,76.05,3,8,19,0,0
Medium,Feature Request,Email,3,13.64,82.39,2,60,39,1,0
Medium,Payment Problem,Portal,6,8.3,22.77,2,31,30,0,0
Urgent,Performance Issue,Phone,8,0.67,4.69,3,37,29,0,0
High,Account Suspension,Email,4,4.74,49.86,2,18,20,1,0
High,Billing Dispute,Chat,8,1.2,20.32,2,32,25,0,0
Low,Subscription Cancellation,Portal,3,59.35,263.86,2,37,57,1,0
Medium,Data Loss,Email,2,5.19,32.65,3,19,46,0,0
Medium,Feature Request,Chat,3,35.81,113.08,3,6,39,1,0
Low,Data Loss,Chat,1,10.42,90.12,0,5,42,0,0
Medium,Billing Dispute,Chat,4,5.42,40.55,1,26,25,0,0
High,Performance Issue,Phone,6,2.06,13.41,5,19,26,0,0
Low,Data Loss,Chat,3,64.14,249.33,1,7,49,1,0
Medium,Feature Request,Email,4,25.91,57.81,0,6,62,1,0
Low,Security Breach,Email,1,65.49,292.8,2,69,43,1,0
Low,Integration Failure,Email,2,12.49,85.09,1,4,50,0,0
Low,Data Loss,Chat,2,15.75,102.82,2,62,30,0,0
Urgent,Security Breach,Phone,7,0.2,4.92,2,25,49,0,0
Urgent,Security Breach,Email,9,0.63,2.56,1,65,65,0,0
Urgent,Payment Problem,Chat,10,1.25,14.31,5,21,60,1,1
Medium,Integration Failure,Phone,6,4.14,37.04,0,15,31,0,0
Low,Subscription Cancellation,Email,4,71.89,142.97,3,10,29,1,0
Medium,Feature Request,Chat,5,27.73,59.54,2,17,56,1,0
Medium,Account Suspension,Phone,5,33.02,56.45,3,1,54,1,0
Urgent,Billing Dispute,Chat,10,1.21,10.14,2,30,50,1,1
Low,Account Suspension,Email,3,43.94,235.21,2,1,36,1,0
Medium,Data Loss,Chat,5,32.86,111.56,4,56,37,1,0
Low,Integration Failure,Portal,2,45.13,211.12,5,6,68,1,0
Medium,Data Loss,Chat,6,18.98,107.15,0,43,68,1,0
High,Integration Failure,Chat,7,2.24,13.42,1,63,26,0,0
Medium,Feature Request,Chat,2,6.64,41.08,3,55,43,0,0
Medium,Billing Dispute,Email,4,35.79,63.39,1,51,50,1,0
Medium,Billing Dispute,Chat,5,5.59,32.31,3,34,24,0,0
Medium,Feature Request,Email,2,11.02,30.63,1,63,69,0,0
High,Subscription Cancellation,Email,5,3.54,8.8,2,5,27,0,0
Urgent,Security Breach,Chat,10,0.54,3.64,2,33,45,0,0
Urgent,Integration Failure,Email,7,0.91,4.92,0,42,22,0,0
High,Login Issue,Chat,7,2.99,19.24,6,71,69,0,0
Medium,Login Issue,Email,5,33.38,113.6,1,7,53,1,0
High,Security Breach,Email,8,11.18,51.12,3,68,69,1,1
Medium,Data Loss,Phone,5,15.15,72.49,0,27,34,1,0
Medium,Integration Failure,Portal,6,10.47,17.61,3,25,45,0,0
Urgent,Performance Issue,Email,6,0.57,5.13,2,35,19,0,0
Low,Billing Dispute,Chat,4,55.45,189.85,3,34,39,1,0
Urgent,Account Suspension,Email,9,1.67,15.11,1,64,66,1,1
Medium,Performance Issue,Chat,6,8.21,26.82,2,58,50,0,0
High,Account Suspension,Chat,7,0.88,13.12,2,5,35,0,0
High,Billing Dispute,Email,6,7.22,57.04,3,14,34,1,0
Urgent,Login Issue,Phone,8,0.67,5.87,1,4,24,0,0
High,Feature Request,Email,5,5.9,48.9,2,42,49,1,0
High,Subscription Cancellation,Email,4,2.82,9.29,2,22,56,0,0
Low,Payment Problem,Phone,2,64.2,197.46,1,67,54,1,0
Medium,Data Loss,Phone,4,14.05,104.06,0,21,55,1,0
Low,Security Breach,Chat,4,53.94,227.25,0,37,46,1,0
High,Login Issue,Chat,6,8.81,41.87,3,7,68,1,0
Medium,Feature Request,Chat,2,9.44,44.75,5,7,65,0,0
High,Feature Request,Chat,6,2.89,9.33,1,45,21,0,0
Low,Account Suspension,Chat,3,47.13,159.01,2,37,63,1,0
Low,Feature Request,Chat,4,42.57,226.63,3,70,40,1,0
High,Integration Failure,Chat,4,11.89,40.01,7,31,32,1,0
Low,Data Loss,Phone,1,13.83,73.49,2,45,34,0,0
Low,Payment Problem,Phone,2,45.0,224.04,3,71,41,1,0
Low,Login Issue,Chat,1,71.68,153.41,2,27,57,1,0
Urgent,Integration Failure,Chat,6,1.44,11.83,3,66,49,1,1
High,Login Issue,Chat,4,5.81,44.45,2,29,20,1,0
Medium,Subscription Cancellation,Chat,4,35.46,65.81,2,61,50,1,0
Medium,Payment Problem,Chat,4,28.2,109.22,3,34,60,1,0
Medium,Feature Request,Portal,6,25.05,105.45,2,18,64,1,0
High,Subscription Cancellation,Phone,7,1.0,16.06,1,28,34,0,0
High,Account Suspension,Portal,6,1.87,14.92,3,30,54,0,0
Low,Subscription Cancellation,Phone,2,46.16,288.17,0,22,42,1,0
Low,Performance Issue,Portal,3,49.72,258.39,1,3,61,1,0
Low,Account Suspension,Chat,3,46.31,138.41,2,36,31,1,0
High,Payment Problem,Portal,8,7.73,33.91,1,25,62,1,1
High,Data Loss,Email,7,3.78,8.34,4,23,45,0,0
Medium,Performance Issue,Email,3,35.41,119.64,1,65,59,1,0
Low,Login Issue,Chat,4,6.35,68.93,2,37,55,0,0
Low,Security Breach,Portal,3,34.09,154.55,4,21,47,1,0
Urgent,Security Breach,Chat,6,0.91,4.26,4,64,39,0,0
Medium,Performance Issue,Email,5,5.27,44.97,3,46,41,0,0
High,Data Loss,Chat,4,9.05,31.2,4,47,48,1,0
High,Integration Failure,Chat,7,10.46,38.39,5,48,19,1,1
Medium,Security Breach,Email,6,23.94,71.33,3,37,33,1,0
Low,Performance Issue,Phone,3,27.16,264.76,1,35,48,1,0
Low,Payment Problem,Portal,2,64.16,136.29,2,16,22,1,0
High,Billing Dispute,Portal,8,3.07,21.97,2,68,45,0,0
High,Data Loss,Email,5,0.92,20.75,1,30,50,0,0
High,Data Loss,Email,7,3.49,12.88,1,18,62,0,0
Medium,Integration Failure,Chat,6,32.74,113.36,3,6,25,1,0
Low,Account Suspension,Chat,4,38.94,203.52,4,46,55,1,0
Urgent,Feature Request,Email,7,0.26,3.92,3,41,29,0,0
High,Security Breach,Phone,8,7.46,40.08,0,48,28,1,1
Medium,Feature Request,Chat,2,33.15,108.24,4,15,66,1,0
Urgent,Feature Request,Portal,9,0.56,5.32,3,7,25,0,0
High,Payment Problem,Portal,5,1.64,10.59,3,37,31,0,0
High,Login Issue,Email,8,6.16,28.74,4,26,63,1,1
High,Feature Request,Portal,7,7.1,46.78,2,65,42,1,1
Urgent,Data Loss,Phone,6,0.95,6.66,1,26,49,0,0
High,Integration Failure,Chat,7,11.08,55.15,3,50,18,1,1
Low,Integration Failure,Chat,1,14.65,100.19,1,30,48,0,0
Medium,Billing Dispute,Chat,4,9.68,30.42,1,34,36,0,0
Urgent,Login Issue,Email,8,1.7,13.03,3,46,68,1,1
Low,Account Suspension,Chat,3,54.45,295.87,4,67,54,1,0
Medium,Data Loss,Email,4,33.1,114.79,4,19,66,1,0
Medium,Data Loss,Chat,5,5.71,37.86,1,58,39,0,0
Medium,Billing Dispute,Email,5,31.45,81.7,3,31,33,1,0
High,Subscription Cancellation,Email,7,9.07,59.11,4,13,29,1,1
Urgent,Billing Dispute,Chat,9,0.66,4.34,3,29,31,0,0
Low,Feature Request,Chat,2,28.27,246.99,0,53,42,1,0
Low,Performance Issue,Chat,2,67.41,181.44,3,17,27,1,0
Low,Integration Failure,Email,2,61.79,272.39,0,31,28,1,0
Urgent,Billing Dispute,Portal,10,0.23,6.87,3,52,24,0,0
High,Feature Request,Chat,5,2.63,15.14,2,41,57,0,0
Medium,Security Breach,Email,5,30.21,90.58,3,57,63,1,0
Urgent,Login Issue,Chat,10,0.8,7.33,3,8,58,0,0
Urgent,Data Loss,Chat,9,1.27,10.39,6,54,60,1,1
Urgent,Subscription Cancellation,Email,7,0.68,4.85,1,56,54,0,0
Urgent,Login Issue,Chat,10,0.37,5.15,2,27,24,0,0
Medium,Feature Request,Phone,6,23.49,107.66,2,63,25,1,0
High,Account Suspension,Phone,6,8.4,52.53,3,67,57,1,0
Medium,Security Breach,Email,6,2.65,33.18,1,26,64,0,0
Urgent,Feature Request,Portal,9,0.42,3.21,0,55,29,0,0
High,Performance Issue,Email,6,10.46,40.05,3,44,22,1,0
High,Payment Problem,Portal,8,3.33,8.62,5,45,49,0,0
High,Feature Request,Email,4,1.79,9.55,2,42,67,0,0
Low,Billing Dispute,Chat,4,46.55,170.05,1,26,36,1,0
Medium,Feature Request,Chat,4,32.15,75.22,2,21,47,1,0
Urgent,Billing Dispute,Email,8,0.35,4.69,3,25,43,0,0
Urgent,Account Suspension,Phone,8,0.75,6.15,2,59,68,0,0
Low,Data Loss,Chat,3,44.97,135.89,4,39,49,1,0
Low,Integration Failure,Email,2,22.57,104.01,2,66,41,0,0
Low,Payment Problem,Chat,4,53.84,298.67,0,42,39,1,0
High,Account Suspension,Chat,5,5.53,58.79,2,22,67,1,0
Urgent,Billing Dispute,Email,7,0.33,4.61,3,2,47,0,0
Low,Integration Failure,Portal,2,5.29,67.15,4,59,49,0,0
Medium,Performance Issue,Portal,5,29.5,87.9,4,11,27,1,0
Urgent,Login Issue,Email,8,0.53,5.86,3,41,54,0,0
High,Payment Problem,Chat,4,0.83,11.53,4,4,48,0,0
Medium,Subscription Cancellation,Email,3,15.51,96.81,3,27,49,1,0
High,Account Suspension,Phone,6,1.67,12.02,1,46,42,0,0
Medium,Login Issue,Portal,5,22.87,97.2,3,66,24,1,0
Medium,Login Issue,Chat,4,34.6,96.66,2,55,30,1,0
High,Feature Request,Phone,7,2.42,7.21,4,38,49,0,0
High,Feature Request,Chat,6,3.48,20.79,0,5,57,0,0
Urgent,Subscription Cancellation,Chat,9,0.39,3.4,1,28,28,0,0
High,Subscription Cancellation,Portal,6,1.8,22.69,4,9,25,0,0
High,Billing Dispute,Chat,4,3.44,15.78,2,58,24,0,0
Low,Subscription Cancellation,Chat,2,48.81,196.93,2,53,51,1,0
Medium,Login Issue,Phone,3,7.71,17.26,5,51,38,0,0
Low,Billing Dispute,Email,3,52.58,246.41,5,47,61,1,0
Low,Integration Failure,Email,2,16.42,64.06,6,41,21,0,0
High,Data Loss,Portal,6,2.57,22.22,0,15,18,0,0
Urgent,Data Loss,Phone,8,0.72,6.86,3,47,61,0,0
Low,Data Loss,Phone,4,33.12,152.9,2,27,37,1,0
Medium,Payment Problem,Email,6,29.4,83.56,5,32,31,1,0
Urgent,Payment Problem,Chat,6,1.39,13.77,4,57,24,1,1
Low,Subscription Cancellation,Portal,4,10.93,91.28,0,49,27,0,0
High,Data Loss,Email,8,3.29,11.46,2,50,29,0,0
High,Performance Issue,Email,4,2.62,20.25,4,13,33,0,0
High,Feature Request,Chat,4,3.7,21.89,1,68,50,0,0
Low,Performance Issue,Chat,4,37.9,224.79,4,48,18,1,0
Medium,Data Loss,Email,5,10.69,43.33,4,60,30,0,0
High,Data Loss,Portal,6,9.28,37.33,0,6,65,1,0
High,Feature Request,Portal,6,1.91,12.15,4,67,38,0,0
Low,Data Loss,Chat,2,18.96,92.42,6,42,47,0,0
High,Account Suspension,Phone,4,3.66,14.13,5,6,31,0,0
Low,Login Issue,Portal,2,18.83,57.54,0,25,49,0,0
High,Billing Dispute,Phone,7,0.82,12.03,2,49,36,0,0
Low,Feature Request,Email,1,26.87,271.84,3,35,60,1,0
Urgent,Data Loss,Email,10,0.29,5.76,2,7,33,0,0
Medium,Payment Problem,Email,4,32.6,105.99,1,11,37,1,0
Medium,Payment Problem,Email,2,9.15,27.28,1,60,66,0,0
Low,Login Issue,Email,1,55.57,289.72,4,7,21,1,0
Medium,Payment Problem,Chat,3,8.65,42.19,6,67,51,0,0
Urgent,Billing Dispute,Email,9,0.66,2.59,4,25,34,0,0
Urgent,Security Breach,Email,8,1.76,12.89,2,4,65,1,1
Medium,Security Breach,Chat,4,8.88,16.71,2,51,25,0,0
Medium,Security Breach,Email,6,34.52,68.78,0,43,39,1,0
High,Login Issue,Phone,8,3.05,21.64,3,45,31,0,0
Urgent,Login Issue,Email,7,0.85,7.06,2,43,45,0,0
High,Billing Dispute,Phone,4,1.51,8.08,3,8,42,0,0
Medium,Feature Request,Portal,6,5.54,15.52,3,50,55,0,0
Medium,Subscription Cancellation,Phone,4,24.78,96.2,1,60,36,1,0
High,Security Breach,Phone,5,2.21,10.88,1,31,24,0,0
Low,Payment Problem,Portal,3,13.19,36.17,3,32,48,0,0
High,Performance Issue,Email,8,2.72,20.19,1,37,23,0,0
Medium,Subscription Cancellation,Portal,6,32.7,78.62,0,38,29,1,0
High,Billing Dispute,Phone,4,11.14,40.42,5,27,39,1,0
Low,Feature Request,Phone,1,33.26,150.35,2,51,35,1,0
High,Payment Problem,Chat,7,1.07,14.61,3,63,45,0,0
Medium,Data Loss,Chat,4,5.2,38.62,3,8,62,0,0
High,Feature Request,Phone,6,3.01,11.87,2,53,51,0,0
Low,Security Breach,Chat,3,62.58,271.08,2,7,47,1,0
High,Security Breach,Phone,5,1.95,17.34,0,68,56,0,0
High,Data Loss,Email,7,1.73,13.68,0,47,27,0,0
High,Billing Dispute,Chat,5,1.19,15.07,5,48,57,0,0
High,Integration Failure,Chat,8,1.51,8.94,3,8,56,0,0
High,Feature Request,Email,7,1.1,21.14,3,31,42,0,0
Urgent,Data Loss,Email,10,0.43,7.05,1,48,36,0,0
Medium,Billing Dispute,Email,3,28.62,78.5,1,26,55,1,0
Urgent,Billing Dispute,Chat,8,0.3,5.83,1,43,54,0,0
Medium,Login Issue,Chat,4,20.53,104.18,3,50,33,1,0
Low,Feature Request,Email,3,50.51,270.72,2,55,51,1,0
Low,Payment Problem,Portal,2,41.32,253.74,3,21,52,1,0
Medium,Integration Failure,Phone,2,6.36,30.04,3,13,52,0,0
High,Account Suspension,Phone,4,8.18,49.85,3,54,66,1,0
High,Performance Issue,Email,5,3.13,21.98,2,51,58,0,0
High,Feature Request,Chat,4,3.33,14.55,1,5,57,0,0
Medium,Subscription Cancellation,Chat,5,4.13,16.95,5,52,33,0,0
Medium,Billing Dispute,Portal,4,21.62,107.14,5,1,22,1,0
Low,Login Issue,Phone,2,52.63,253.17,4,10,29,1,0
Medium,Data Loss,Chat,2,24.59,72.75,3,40,31,1,0
Medium,Security Breach,Portal,4,15.03,92.33,2,70,65,1,0
Low,Data Loss,Email,4,11.01,41.68,2,23,18,0,0
Low,Data Loss,Email,4,36.78,212.48,3,27,69,1,0
High,Integration Failure,Phone,4,2.05,13.42,0,66,61,0,0
High,Feature Request,Email,4,1.81,11.11,3,17,65,0,0
Urgent,Data Loss,Email,8,0.72,3.2,1,29,55,0,0
Urgent,Integration Failure,Phone,8,0.5,4.19,1,2,32,0,0
High,Account Suspension,Email,4,1.52,21.8,4,57,48,0,0
Medium,Payment Problem,Chat,2,27.33,87.32,1,68,60,1,0
High,Account Suspension,Portal,6,2.98,10.34,1,9,51,0,0
High,Feature Request,Email,8,1.12,20.23,2,34,40,0,0
Low,Security Breach,Email,1,9.32,57.01,4,50,28,0,0
Medium,Account Suspension,Email,3,4.28,39.45,4,35,54,0,0
Urgent,Integration Failure,Email,10,0.35,2.49,2,33,63,0,0
Medium,Integration Failure,Email,6,10.52,43.21,1,34,31,0,0
High,Performance Issue,Email,8,5.36,44.36,5,27,27,1,1
High,Billing Dispute,Chat,4,11.02,52.04,2,54,33,1,0
Low,Subscription Cancellation,Email,1,11.89,60.51,3,38,60,0,0
Medium,Subscription Cancellation,Phone,4,27.81,109.65,0,55,39,1,0
Medium,Feature Request,Portal,2,23.25,99.28,4,65,25,1,0
Low,Billing Dispute,Phone,1,53.7,139.91,3,56,48,1,0
Low,Performance Issue,Chat,3,51.56,138.82,0,47,63,1,0
Urgent,Login Issue,Email,8,1.92,12.84,1,57,27,1,1
Medium,Data Loss,Phone,6,4.88,16.02,3,35,47,0,0
Medium,Account Suspension,Chat,4,10.78,15.75,3,60,31,0,0
Medium,Billing Dispute,Email,5,34.08,78.18,7,6,21,1,0
Urgent,Data Loss,Phone,10,1.24,11.39,3,3,27,1,1
Medium,Login Issue,Email,5,18.3,76.38,2,68,22,1,0
Medium,Security Breach,Email,3,26.29,79.92,2,45,55,1,0
Urgent,Performance Issue,Portal,6,0.94,2.85,1,7,47,0,0
Urgent,Data Loss,Portal,7,0.75,5.55,3,67,28,0,0
Low,Performance Issue,Email,3,19.53,63.14,2,67,21,0,0
Urgent,Performance Issue,Chat,10,0.44,6.36,3,17,62,0,0
Medium,Billing Dispute,Chat,2,18.19,119.41,4,38,46,1,0
Medium,Integration Failure,Phone,5,18.35,78.44,2,47,64,1,0
Low,Payment Problem,Email,2,48.44,256.65,6,65,66,1,0
Low,Feature Request,Chat,3,65.55,181.6,1,66,44,1,0
High,Subscription Cancellation,Portal,8,6.04,53.66,6,1,61,1,1
Medium,Performance Issue,Email,5,26.2,98.7,2,11,41,1,0
Medium,Billing Dispute,Portal,5,31.64,69.55,4,62,69,1,0
High,Billing Dispute,Portal,7,2.3,14.39,1,9,54,0,0
High,Data Loss,Email,6,2.05,19.78,1,5,32,0,0
Low,Data Loss,Phone,2,42.2,251.19,4,40,21,1,0
High,Account Suspension,Email,5,2.6,7.69,2,57,31,0,0
Low,Performance Issue,Phone,1,19.52,36.12,3,33,30,0,0
High,Payment Problem,Phone,7,11.97,51.73,3,38,61,1,1
High,Feature Request,Email,8,3.41,14.28,2,56,55,0,0
Urgent,Feature Request,Phone,8,0.54,5.06,2,30,51,0,0
Low,Security Breach,Phone,2,30.01,294.06,0,33,22,1,0
Low,Security Breach,Chat,1,31.9,154.21,3,40,23,1,0
Medium,Account Suspension,Email,2,13.87,54.96,2,68,56,1,0
Medium,Subscription Cancellation,Email,6,21.47,65.5,2,22,66,1,0
Low,Security Breach,Chat,3,48.36,251.71,6,23,69,1,0
Urgent,Login Issue,Portal,9,2.66,10.84,0,22,68,1,1
Low,Account Suspension,Phone,3,6.34,77.23,6,61,64,0,0
Medium,Feature Request,Chat,3,4.45,41.1,0,36,19,0,0
High,Feature Request,Chat,4,2.33,20.31,6,1,54,0,0
Medium,Payment Problem,Email,6,10.05,20.96,2,67,29,0,0
High,Billing Dispute,Email,8,1.06,21.2,5,25,39,0,0
Low,Login Issue,Chat,3,37.5,298.96,0,69,21,1,0
Medium,Subscription Cancellation,Chat,6,25.6,118.25,5,63,58,1,0
Low,Data Loss,Chat,2,41.19,281.72,3,51,32,1,0
Low,Account Suspension,Portal,2,71.65,142.6,2,22,63,1,0
Urgent,Security Breach,Chat,10,0.54,5.66,3,57,37,0,0
Low,Integration Failure,Chat,1,21.2,70.32,2,8,49,0,0
Medium,Payment Problem,Email,3,10.87,23.11,5,43,48,0,0
Medium,Feature Request,Portal,4,4.73,24.24,0,56,52,0,0
Medium,Integration Failure,Phone,3,20.64,116.18,0,21,60,1,0
Urgent,Account Suspension,Portal,8,0.44,7.35,2,7,66,0,0
Low,Performance Issue,Chat,1,46.3,149.01,2,20,41,1,0
High,Subscription Cancellation,Chat,7,0.99,10.38,4,64,66,0,0
Urgent,Performance Issue,Chat,6,0.81,7.17,3,13,45,0,0
High,Account Suspension,Email,5,1.19,16.78,0,14,37,0,0
Urgent,Performance Issue,Phone,9,0.87,6.07,2,16,46,0,0
Low,Subscription Cancellation,Portal,4,52.69,190.38,4,47,57,1,0
Medium,Billing Dispute,Email,2,6.73,21.93,2,16,23,0,0
Medium,Account Suspension,Email,6,8.35,28.3,2,15,43,0,0
High,Integration Failure,Phone,5,11.49,37.85,3,67,58,1,0
Urgent,Performance Issue,Email,6,0.42,7.31,2,5,33,0,0
Medium,Subscription Cancellation,Chat,4,19.36,63.88,4,5,31,1,0
High,Security Breach,Phone,5,1.91,22.67,2,45,46,0,0
Low,Data Loss,Email,3,48.6,284.28,6,14,40,1,0
High,Subscription Cancellation,Phone,5,1.03,16.11,3,65,58,0,0
Medium,Payment Problem,Chat,6,28.7,75.81,2,44,28,1,0
Urgent,Data Loss,Portal,10,0.59,6.16,0,36,49,0,0
High,Security Breach,Phone,6,8.5,42.55,1,18,52,1,0
Medium,Login Issue,Portal,2,18.89,78.0,4,50,18,1,0
Low,Integration Failure,Email,1,64.73,187.86,3,44,60,1,0
Low,Feature Request,Email,2,44.55,145.47,2,58,30,1,0
Low,Security Breach,Email,3,56.14,205.03,6,44,24,1,0
Medium,Billing Dispute,Chat,5,18.67,69.45,1,1,66,1,0
Urgent,Data Loss,Portal,10,0.81,2.5,4,71,57,0,0
High,Billing Dispute,Chat,6,6.68,34.24,2,2,24,1,0
Medium,Data Loss,Phone,2,34.21,68.58,3,8,31,1,0
Low,Payment Problem,Email,1,47.14,182.77,1,10,43,1,0
Urgent,Login Issue,Email,9,0.31,7.32,5,9,68,0,0
High,Feature Request,Portal,7,2.63,21.23,1,7,34,0,0
Low,Payment Problem,Chat,1,14.82,38.5,2,49,46,0,0
High,Security Breach,Phone,6,2.06,10.92,3,35,28,0,0
Medium,Billing Dispute,Email,4,31.89,82.52,4,36,27,1,0
Low,Data Loss,Portal,4,12.38,57.67,1,55,24,0,0
Medium,Security Breach,Chat,4,3.63,26.73,3,2,37,0,0
Medium,Subscription Cancellation,Phone,6,13.85,108.62,4,23,32,1,0
Low,Login Issue,Email,3,67.08,227.64,3,26,19,1,0
Urgent,Integration Failure,Chat,9,1.99,13.5,3,42,65,1,1
Urgent,Subscription Cancellation,Portal,8,0.62,4.93,2,23,67,0,0
High,Billing Dispute,Portal,6,5.27,35.63,5,37,21,1,0
Medium,Login Issue,Email,6,24.36,66.91,4,30,44,1,0
Medium,Login Issue,Email,6,7.2,21.03,0,63,66,0,0
High,Security Breach,Chat,8,7.94,53.23,1,31,20,1,1
Medium,Subscription Cancellation,Email,6,10.99,20.44,4,42,18,0,0
Low,Security Breach,Phone,4,52.46,285.08,3,55,24,1,0
Medium,Security Breach,Email,2,35.42,83.0,2,47,57,1,0
Urgent,Security Breach,Email,6,1.39,14.77,2,1,44,1,1
Medium,Billing Dispute,Phone,5,34.04,93.86,5,56,51,1,0
Low,Data Loss,Chat,4,14.75,59.89,3,11,20,0,0
High,Data Loss,Phone,7,1.69,21.17,2,25,36,0,0
Low,Billing Dispute,Portal,2,18.22,83.45,3,43,65,0,0
Medium,Feature Request,Email,5,7.41,42.46,3,26,23,0,0
Low,Integration Failure,Phone,1,15.16,75.59,5,26,50,0,0
Medium,Payment Problem,Email,3,17.12,55.42,1,8,29,1,0
High,Integration Failure,Chat,8,9.57,27.45,3,68,41,1,1
Medium,Billing Dispute,Email,3,19.91,73.48,4,67,68,1,0
Low,Performance Issue,Email,3,42.62,274.35,2,59,31,1,0
Urgent,Payment Problem,Email,8,2.82,11.78,1,43,34,1,1
Urgent,Feature Request,Email,7,0.33,4.92,3,51,53,0,0
Urgent,Account Suspension,Portal,7,0.86,3.45,2,43,37,0,0
Low,Payment Problem,Phone,3,49.22,258.01,2,14,25,1,0
Medium,Login Issue,Portal,4,17.27,97.81,3,8,59,1,0
Urgent,Billing Dispute,Chat,6,2.64,18.91,4,42,55,1,1
High,Account Suspension,Email,7,2.76,12.74,3,3,42,0,0
Low,Integration Failure,Email,3,42.22,297.46,2,42,21,1,0
Low,Account Suspension,Email,1,10.21,104.46,6,35,46,0,0
Medium,Billing Dispute,Email,3,22.8,82.94,1,52,64,1,0
Urgent,Integration Failure,Phone,9,0.3,6.87,1,45,20,0,0
Medium,Billing Dispute,Chat,3,9.68,27.65,3,2,48,0,0
Medium,Subscription Cancellation,Chat,3,19.55,105.72,4,48,54,1,0
Low,Performance Issue,Email,3,64.11,192.49,5,65,27,1,0
High,Feature Request,Email,6,9.96,34.98,1,71,29,1,0
Urgent,Feature Request,Email,10,2.89,17.06,2,9,61,1,1
Medium,Login Issue,Email,5,3.29,44.5,1,48,20,0,0
High,Performance Issue,Phone,4,1.85,18.53,1,38,65,0,0
Urgent,Performance Issue,Email,10,0.67,7.48,1,71,26,0,0
Low,Login Issue,Phone,2,65.55,286.65,3,50,31,1,0
Medium,Integration Failure,Chat,6,16.75,81.45,3,67,31,1,0
Medium,Login Issue,Email,4,32.84,86.74,1,69,57,1,0
High,Integration Failure,Phone,5,4.91,32.8,1,25,36,1,0
High,Login Issue,Chat,7,2.22,14.05,5,33,34,0,0
High,Payment Problem,Email,4,5.04,52.18,0,46,54,1,0
High,Payment Problem,Portal,6,5.54,43.96,4,12,39,1,0
Medium,Subscription Cancellation,Email,6,30.87,118.22,0,10,65,1,0
Urgent,Data Loss,Email,8,0.21,3.0,0,18,38,0,0
Medium,Login Issue,Phone,2,7.4,30.24,2,64,48,0,0
Low,Performance Issue,Phone,4,30.88,221.39,2,46,56,1,0
High,Payment Problem,Email,5,10.57,31.4,1,19,29,1,0
High,Security Breach,Email,5,3.22,19.63,1,28,51,0,0
Medium,Integration Failure,Portal,3,29.22,107.78,2,24,57,1,0
Urgent,Payment Problem,Email,8,2.54,18.85,3,64,31,1,1
Urgent,Payment Problem,Email,7,0.64,7.27,2,49,35,0,0
Medium,Billing Dispute,Chat,6,6.77,37.72,2,59,59,0,0
Urgent,Integration Failure,Portal,9,1.88,18.23,1,29,65,1,1
Low,Feature Request,Email,2,56.56,144.26,4,3,27,1,0
Low,Account Suspension,Phone,2,43.86,196.48,3,2,49,1,0
Low,Integration Failure,Chat,3,26.53,179.88,3,60,63,1,0
Urgent,Subscription Cancellation,Chat,8,0.28,6.53,2,53,69,0,0
High,Billing Dispute,Phone,7,2.76,12.01,4,23,40,0,0
Low,Integration Failure,Portal,1,43.04,216.18,1,52,55,1,0
Medium,Integration Failure,Email,2,35.76,81.28,4,20,27,1,0
High,Data Loss,Email,5,1.86,19.03,3,34,61,0,0
Low,Billing Dispute,Portal,1,31.34,228.89,1,32,35,1,0
Urgent,Integration Failure,Phone,9,1.72,13.22,4,27,21,1,1
Urgent,Account Suspension,Chat,6,0.72,3.08,4,10,20,0,0
Medium,Account Suspension,Chat,5,25.24,63.77,2,34,46,1,0
Urgent,Security Breach,Phone,6,2.26,16.88,2,32,29,1,1
Medium,Billing Dispute,Phone,4,3.4,15.45,3,42,23,0,0
Urgent,Feature Request,Portal,10,0.82,4.68,1,13,55,0,0
High,Integration Failure,Chat,6,3.51,18.59,1,28,41,0,0
High,Data Loss,Email,5,5.5,38.66,5,31,45,1,0
Low,Data Loss,Chat,2,54.95,241.31,1,8,54,1,0
Urgent,Performance Issue,Chat,7,0.37,6.4,1,12,69,0,0
Medium,Feature Request,Chat,6,4.04,41.86,2,71,49,0,0
Low,Data Loss,Chat,4,35.73,169.69,1,56,36,1,0
Low,Account Suspension,Email,1,50.17,250.31,7,30,58,1,0
High,Performance Issue,Chat,4,11.13,45.17,0,15,22,1,0
Medium,Login Issue,Phone,6,31.86,83.65,5,70,21,1,0
High,Data Loss,Phone,4,5.49,40.46,2,48,47,1,0
Urgent,Subscription Cancellation,Chat,9,0.58,6.94,4,16,44,0,0
Low,Billing Dispute,Email,3,33.28,162.11,3,14,51,1,0
High,Data Loss,Chat,5,7.73,52.56,5,33,23,1,0
Low,Payment Problem,Phone,3,52.05,144.86,2,46,64,1,0
Urgent,Feature Request,Chat,6,0.81,5.25,1,33,32,0,0
Urgent,Payment Problem,Phone,7,0.85,3.23,3,38,38,0,0
Medium,Security Breach,Chat,6,13.83,83.68,1,62,51,1,0
